BOTTLE,20020821WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 21, 2002
#original HYD file: a16chy.txt   Wed Aug 21 13:32:50 2002
#original SUM file: a16csu.txt   Sun Sep 16 23:17:58 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UATM,,DEG_C,DEG C
   318MHYDROS4,  A16C,   310,  1,     35,     35,2,19890314,1958,-34.8567, -51.9233, 1018,    927.7,   3.9564,  34.2548,2,  34.2520,2,    239.1,2,    25.42,2,    29.33,2,     0.00,2,     2.05,2,    1.631,2,    0.760,2,   2176.8,2,   -999.9,9, -999.90,  3.8874
   318MHYDROS4,  A16C,   310,  1,     36,     36,2,19890314,1958,-34.8567, -51.9233, 1018,   1023.2,   3.8112,  34.2679,2,  34.2640,2,    233.5,2,    28.16,2,    29.92,2,     0.00,2,     2.09,2,    1.380,6,    0.640,6,   2176.4,2,    888.1,2,   20.00,  3.7355
   318MHYDROS4,  A16C,   311,  1,     20,     20,2,19890315,0245,-35.0650, -51.7067, 1801,     10.3,  25.1032,  36.7705,2,  36.7710,2,    207.0,2,     1.37,2,     0.00,2,     0.00,2,     0.04,2,    1.630,2,    0.874,2,   2048.8,2,    283.6,2,   20.00, 25.1009
   318MHYDROS4,  A16C,   311,  1,     21,     21,2,19890315,0245,-35.0650, -51.7067, 1801,     43.1,  24.4230,  36.8866,2,  36.8860,2,    224.0,2,     1.37,2,     0.00,2,     0.00,2,     0.03,2,    1.759,2,    0.923,2,   2054.5,2,    288.5,2,   20.00, 24.4138
   318MHYDROS4,  A16C,   311,  1,     22,     22,2,19890315,0245,-35.0650, -51.7067, 1801,     82.0,  22.3227,  36.8262,2,  36.8240,2,    214.3,2,     1.46,2,     0.00,2,     0.00,2,     0.06,2,    1.829,2,    0.946,2,   -999.9,9,   -999.9,9, -999.90, 22.3062
   318MHYDROS4,  A16C,   311,  1,     23,     23,2,19890315,0245,-35.0650, -51.7067, 1801,    122.3,  21.3520,  36.6888,2,  36.6890,2,    209.0,2,     1.46,2,     0.00,2,     0.11,2,     0.08,2,    1.910,2,    0.977,2,   2069.3,2,    331.8,2,   20.00, 21.3281
   318MHYDROS4,  A16C,   311,  1,     24,     24,2,19890315,0245,-35.0650, -51.7067, 1801,    201.4,  18.2709,  36.0548,2,  36.0560,2,    208.1,2,     1.86,2,     0.68,2,     0.02,2,     0.21,2,    2.043,2,    1.048,2,   2074.9,2,   -999.9,9, -999.90, 18.2357
   318MHYDROS4,  A16C,   311,  1,     25,     25,2,19890315,0245,-35.0650, -51.7067, 1801,    250.4,  16.5969,  35.7971,2,  35.8030,2,    210.2,2,     1.86,2,     2.34,2,     0.01,2,     0.32,2, -999.000,9, -999.000,9,   2081.0,2,    399.2,2,   20.00, 16.5560
   318MHYDROS4,  A16C,   311,  1,     26,     26,2,19890315,0245,-35.0650, -51.7067, 1801,    301.6,  15.4574,  35.5909,2,  35.6060,2,    209.3,2,     2.25,2,     3.91,2,     0.01,2,     0.46,2,    1.977,2,    1.018,2,   -999.9,9,    424.0,2,   20.00, 15.4105
   318MHYDROS4,  A16C,   311,  1,     27,     27,2,19890315,0245,-35.0650, -51.7067, 1801,    398.9,  14.0014,  35.3772,2,  35.3830,2,    209.7,2,     3.22,2,     6.74,2,     0.00,2,     0.62,2,    1.910,2,    0.964,2,   2095.8,2,    478.0,2,   20.00, 13.9432
