BOTTLE,20010917WHPSIOSCD
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20010917
#original HYD file: a16shy.txt   Mon Sep 17 08:37:13 2001
#original SUM file: a16ssu.txt   Mon Sep 17 08:37:13 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,DEG C
     318MSAVE5,  A16S,   237,  1,      5,      5,2,19890201,1345,-32.4933, -24.9850, 4148,     83.5,  16.2117,  35.6145,2,-999.0000,9,    244.2,2,     1.37,2,     0.39,2,     0.02,2,     0.18,2,    2.274,2,    1.159,2, 16.1983
     318MSAVE5,  A16S,   237,  1,      6,      6,2,19890201,1345,-32.4933, -24.9850, 4148,    150.7,  14.7392,  35.4732,2,-999.0000,9,    224.0,2,     2.34,2,     4.59,2,     0.02,2,     0.43,2,    2.247,2,    1.142,2, 14.7166
     318MSAVE5,  A16S,   237,  1,      7,      7,2,19890201,1345,-32.4933, -24.9850, 4148,    191.4,  14.2154,  35.4261,2,-999.0000,9,    222.1,2,     2.54,2,     6.06,2,     0.01,2,     0.52,2, -999.000,9, -999.000,9, 14.1874
     318MSAVE5,  A16S,   237,  1,      8,      8,2,19890201,1345,-32.4933, -24.9850, 4148,    219.7,  13.9335,  35.3896,2,-999.0000,9,    224.4,2,     2.74,2,     6.45,2,     0.02,2,     0.56,2,    2.174,2,    1.102,2, 13.9017
     318MSAVE5,  A16S,   237,  1,      9,      9,2,19890201,1345,-32.4933, -24.9850, 4148,    300.2,  12.9250,  35.2322,2,-999.0000,9,    221.6,2,     3.32,2,     8.89,2,     0.02,2,     0.70,2,    2.086,2,    1.055,2, 12.8836
     318MSAVE5,  A16S,   237,  1,     10,     10,2,19890201,1345,-32.4933, -24.9850, 4148,    350.3,  12.4492,  35.1775,2,-999.0000,9,    233.4,2,     3.13,2,     8.50,2,     0.02,2,     0.68,2, -999.000,9, -999.000,9, 12.4020
     318MSAVE5,  A16S,   237,  1,     11,     11,2,19890201,1345,-32.4933, -24.9850, 4148,    399.6,  11.7455,  35.0530,2,-999.0000,9,    222.7,2,     4.10,2,    11.14,2,     0.01,2,     0.84,2,    2.122,2,    1.068,2, 11.6937
     318MSAVE5,  A16S,   237,  1,     12,     12,2,19890201,1345,-32.4933, -24.9850, 4148,    479.9,  10.0294,  34.8104,2,-999.0000,9,    210.4,2,     7.04,2,    16.81,2,     0.02,2,     1.18,2,    1.615,2,    0.796,2,  9.9730
     318MSAVE5,  A16S,   237,  1,     13,     13,2,19890201,1345,-32.4933, -24.9850, 4148,    529.3,   8.9671,  34.6858,2,-999.0000,9,    209.4,2,     8.60,2,    19.65,2,     0.01,2,     1.35,2,    1.480,2,    0.724,2,  8.9088
     318MSAVE5,  A16S,   237,  1,     14,     14,2,19890201,1345,-32.4933, -24.9850, 4148,    629.1,   7.0443,  34.4709,2,-999.0000,9,    216.6,2,    12.32,2,    23.75,2,     0.01,2,     1.61,2,    1.415,2,    0.683,2,  6.9838
     318MSAVE5,  A16S,   237,  1,     15,     15,2,19890201,1345,-32.4933, -24.9850, 4148,    729.4,   5.6792,  34.3540,2,-999.0000,9,    227.6,2,    15.64,2,    26.10,2,     0.01,2,     1.78,2,    1.327,2,    0.614,2,  5.6162
     318MSAVE5,  A16S,   237,  1,     16,     16,2,19890201,1345,-32.4933, -24.9850, 4148,    799.4,   4.8448,  34.2939,2,-999.0000,9,    234.3,2,    18.87,2,    27.57,2,     0.01,2,     1.89,2,    1.307,2,    0.619,2,  4.7806
     318MSAVE5,  A16S,   237,  1,     17,     17,2,19890201,1345,-32.4933, -24.9850, 4148,    882.6,   4.1753,  34.2660,2,-999.0000,9,    235.5,2,    23.56,2,    28.94,2,     0.01,2,     1.97,2,    1.124,2,    0.533,2,  4.1084
     318MSAVE5,  A16S,   237,  1,     18,     18,2,19890201,1345,-32.4933, -24.9850, 4148,    999.8,   3.5847,  34.2727,2,-999.0000,9,    229.0,2,    31.48,2,    30.50,2,     0.01,2,     2.08,2,    0.837,2,    0.400,2,  3.5127
     318MSAVE5,  A16S,   237,  1,     19,     19,2,19890201,1345,-32.4933, -24.9850, 4148,   1227.4,   2.9323,  34.3686,2,-999.0000,9,    204.0,2,    48.20,2,    32.95,2,     0.00,2,     2.25,2,    0.398,2,    0.187,2,  2.8477
     318MSAVE5,  A16S,   237,  1,     20,     20,2,19890201,1345,-32.4933, -24.9850, 4148,   1399.3,   2.8593,  34.4903,2,-999.0000,9,    189.9,2,    56.70,2,    32.85,2,     0.00,2,     2.25,2,    0.100,2,    0.049,2,  2.7615
     318MSAVE5,  A16S,   237,  1,     21,     21,2,19890201,1345,-32.4933, -24.9850, 4148,   1599.4,   2.8184,  34.6211,2,-999.0000,9,    190.3,2,    58.84,2,    31.28,2,     0.00,2,     2.13,2,    0.022,2,    0.005,2,  2.7043
     318MSAVE5,  A16S,   237,  1,     22,     22,2,19890201,1345,-32.4933, -24.9850, 4148,   1800.3,   2.7954,  34.7063,2,-999.0000,9,    199.0,2,    57.57,2,    29.42,2,     0.00,2,     2.00,2, -999.000,9, -999.000,9,  2.6642
     318MSAVE5,  A16S,   237,  1,     23,     23,2,19890201,1345,-32.4933, -24.9850, 4148,   2001.9,   2.7904,  34.7733,2,-999.0000,9,    211.6,2,    53.36,2,    27.27,2,     0.00,2,     1.85,2,    0.007,2,   -0.001,2,  2.6413
     318MSAVE5,  A16S,   237,  1,     24,     24,2,19890201,1345,-32.4933, -24.9850, 4148,   2200.6,   2.7574,  34.8206,2,-999.0000,9,    223.3,2,    50.04,2,    25.61,2,     0.00,2,     1.73,2, -999.000,9, -999.000,9,  2.5907
     318MSAVE5,  A16S,   237,  1,     25,     25,2,19890201,1345,-32.4933, -24.9850, 4148,   2401.1,   2.7524,  34.8522,2,-999.0000,9,    234.3,2,    46.03,2,    24.24,2,     0.00,2,     1.63,2,    0.005,2,    0.000,2,  2.5669
     318MSAVE5,  A16S,   237,  1,     26,     26,2,19890201,1345,-32.4933, -24.9850, 4148,   2599.2,   2.7574,  34.8757,2,-999.0000,9,    240.0,2,    41.83,2,    23.06,2,     0.00,2,     1.54,2, -999.000,9, -999.000,9,  2.5525
     318MSAVE5,  A16S,   237,  1,     27,     27,2,19890201,1345,-32.4933, -24.9850, 4148,   2801.9,   2.7564,  34.8924,2,-999.0000,9,    243.4,2,    38.90,2,    22.18,2,     0.00,2,     1.49,2,    0.005,2,   -0.001,2,  2.5313
     318MSAVE5,  A16S,   237,  1,     28,     28,2,19890201,1345,-32.4933, -24.9850, 4148,   2902.3,   2.7404,  34.8958,2,-999.0000,9,    246.3,2,    38.41,2,    22.09,2,     0.00,2,     1.47,2, -999.000,9, -999.000,9,  2.5055
     318MSAVE5,  A16S,   237,  1,     29,     29,2,19890201,1345,-32.4933, -24.9850, 4148,   3001.4,   2.7024,  34.8975,2,-999.0000,9,    247.2,2,    38.99,2,    21.89,2,     0.00,2,     1.47,2, -999.000,9, -999.000,9,  2.4582
     318MSAVE5,  A16S,   237,  1,     30,     30,2,19890201,1345,-32.4933, -24.9850, 4148,   3100.9,   2.6675,  34.8986,2,-999.0000,9,    248.3,2,    39.58,2,    21.89,2,     0.00,2,     1.47,2, -999.000,9, -999.000,9,  2.4136
     318MSAVE5,  A16S,   237,  1,     31,     31,2,19890201,1345,-32.4933, -24.9850, 4148,   3299.2,   2.5496,  34.8872,2,-999.0000,9,    247.4,2,    43.68,2,    22.38,2,     0.00,2,     1.50,2,    0.005,2,    0.000,2,  2.2776
     318MSAVE5,  A16S,   237,  1,     32,     32,2,19890201,1345,-32.4933, -24.9850, 4148,   3500.8,   2.3158,  34.8703,2,-999.0000,9,    246.2,2,    51.31,2,    23.16,2,     0.00,2,     1.55,2,    0.002,2,   -0.003,2,  2.0281
     318MSAVE5,  A16S,   237,  1,     33,     33,2,19890201,1345,-32.4933, -24.9850, 4148,   3700.4,   1.9071,  34.8253,2,-999.0000,9,   -999.0,9,    68.61,2,    25.51,2,     0.00,2,     1.72,2,    0.003,2,   -0.002,2,  1.6087
     318MSAVE5,  A16S,   237,  1,     34,     34,2,19890201,1345,-32.4933, -24.9850, 4148,   3895.5,   1.5584,  34.7915,2,-999.0000,9,   -999.0,9,    82.29,2,    27.37,2,     0.00,2,     1.85,2,    0.005,2,   -0.002,2,  1.2485
     318MSAVE5,  A16S,   237,  1,     35,     35,2,19890201,1345,-32.4933, -24.9850, 4148,   4103.9,   1.2866,  34.7647,2,-999.0000,9,    228.1,2,    93.53,2,    28.83,2,     0.00,2,     1.95,2,    0.009,2,   -0.002,2,  0.9620
     318MSAVE5,  A16S,   237,  1,     36,     36,2,19890201,1345,-32.4933, -24.9850, 4148,   4227.3,   1.2127,  34.7560,2,-999.0000,9,    227.0,2,    97.15,2,    29.32,2,     0.00,2,     1.98,2,    0.009,2,   -0.001,2,  0.8767
     318MSAVE5,  A16S,   238,  1,      1,      1,2,19890201,2009,-33.0083, -24.9767, 4580,      1.6,  22.7683,  35.8159,2,  35.8155,2,    222.3,2,     1.73,2,     0.09,2,     0.01,2,     0.07,2, -999.000,9, -999.000,9, 22.7679
     318MSAVE5,  A16S,   238,  1,      2,      2,2,19890201,2009,-33.0083, -24.9767, 4580,     24.4,  21.9143,  35.7965,2,  35.7788,2,    226.6,2,     1.72,2,     0.09,2,     0.00,2,     0.07,2, -999.000,9, -999.000,9, 21.9095
     318MSAVE5,  A16S,   238,  1,      3,      3,2,19890201,2009,-33.0083, -24.9767, 4580,     60.4,  18.4362,  35.7712,2,  35.7638,2,    249.5,2,     1.70,2,     0.04,2,     0.00,2,     0.10,2, -999.000,9, -999.000,9, 18.4256
     318MSAVE5,  A16S,   238,  1,      4,      4,2,19890201,2009,-33.0083, -24.9767, 4580,    110.4,  16.1198,  35.6508,2,  35.6110,2,    232.1,2,     1.68,2,     0.68,2,     0.12,2,     0.23,2, -999.000,9, -999.000,9, 16.1022
     318MSAVE5,  A16S,   238,  1,      5,      5,2,19890201,2009,-33.0083, -24.9767, 4580,    148.4,  15.2026,  35.5269,2,  35.5234,2,    222.5,2,     2.08,2,     3.74,2,     0.02,2,     0.39,2, -999.000,9, -999.000,9, 15.1799
     318MSAVE5,  A16S,   238,  1,      6,      6,2,19890201,2009,-33.0083, -24.9767, 4580,    198.6,  14.5142,  35.4542,2,  35.4516,2,    222.0,2,     2.68,2,     5.25,2,     0.01,2,     0.48,2, -999.000,9, -999.000,9, 14.4847
     318MSAVE5,  A16S,   238,  1,      7,      7,2,19890201,2009,-33.0083, -24.9767, 4580,    263.7,  13.8755,  35.3830,2,  35.3774,2,    223.3,2,     3.08,2,     6.61,2,     0.01,2,     0.56,2, -999.000,9, -999.000,9, 13.8374
     318MSAVE5,  A16S,   238,  1,      8,      8,2,19890201,2009,-33.0083, -24.9767, 4580,    297.2,  13.6500,  35.3633,2,  35.3617,2,    227.6,2,     3.06,2,     6.71,2,     0.01,2,     0.57,2, -999.000,9, -999.000,9, 13.6074
     318MSAVE5,  A16S,   238,  1,      9,      9,2,19890201,2009,-33.0083, -24.9767, 4580,    347.4,  13.2531,  35.3071,2,  35.3041,2,    227.4,2,     3.25,2,     7.74,2,     0.01,2,     0.63,2, -999.000,9, -999.000,9, 13.2043
     318MSAVE5,  A16S,   238,  1,     10,     10,2,19890201,2009,-33.0083, -24.9767, 4580,    398.4,  12.3324,  35.1359,2,  35.1603,2,    221.9,2,     3.85,2,     9.72,2,     0.00,2,     0.76,2, -999.000,9, -999.000,9, 12.2789
     318MSAVE5,  A16S,   238,  1,     11,     11,2,19890201,2009,-33.0083, -24.9767, 4580,    504.6,  10.2174,  34.8318,2,  34.8346,2,    215.6,2,     6.10,2,    15.75,2,     0.00,2,     1.09,2, -999.000,9, -999.000,9, 10.1573
