BOTTLE,20020821WHPSIO
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020821
#original HYD file: a16nhy.txt   Wed Aug 21 13:33:22 2002
#original SUM file: a16nsu.txt   Wed Aug 21 13:34:13 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,CTDOXY,OXYGEN,SILCAT,NITRAT,NITRIT,PHSPHT,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,,DBAR,IPTS-68,PSS-78,PSS-78,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,PMOL/KG,,PMOL/KG,,IPTS-68
     32OC202_1,  A16N,     3,  1,     13,     13,19880724,0054, 63.1333, -20.0067,  927,    506.8,   6.8130,-999.0000,  35.1250,   -999.0,    265.1,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.7650
     32OC202_1,  A16N,     3,  1,     14,     14,19880724,0054, 63.1333, -20.0067,  927,    557.4,   6.5380,-999.0000,  35.1070,   -999.0,    254.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.4860
     32OC202_1,  A16N,     3,  1,     15,     15,19880724,0054, 63.1333, -20.0067,  927,    607.6,   6.3270,-999.0000,  35.0940,   -999.0,    254.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.2710
     32OC202_1,  A16N,     3,  1,     16,     16,19880724,0054, 63.1333, -20.0067,  927,    657.6,   6.0560,-999.0000,  35.0790,   -999.0,    252.5,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.9970
     32OC202_1,  A16N,     3,  1,     17,     17,19880724,0054, 63.1333, -20.0067,  927,    707.5,   5.7910,-999.0000,  35.0680,   -999.0,    259.9,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.7280
     32OC202_1,  A16N,     3,  1,     18,     18,19880724,0054, 63.1333, -20.0067,  927,    758.3,   5.6280,-999.0000,  35.0660,   -999.0,    263.3,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.5620
     32OC202_1,  A16N,     3,  1,     19,     19,19880724,0054, 63.1333, -20.0067,  927,    809.6,   5.4360,  35.0510,-999.0000,   -999.0,    265.5,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.3660
     32OC202_1,  A16N,     3,  1,     20,     20,19880724,0054, 63.1333, -20.0067,  927,    834.8,   5.2950,-999.0000,  35.0430,   -999.0,    265.9,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.2240
     32OC202_1,  A16N,     3,  1,     21,     21,19880724,0054, 63.1333, -20.0067,  927,    860.2,   5.1830,-999.0000,  35.0390,   -999.0,    267.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.1100
     32OC202_1,  A16N,     3,  1,     22,     22,19880724,0054, 63.1333, -20.0067,  927,    885.5,   5.1130,-999.0000,  35.0340,   -999.0,    268.6,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.0380
     32OC202_1,  A16N,     3,  1,     23,     23,19880724,0054, 63.1333, -20.0067,  927,    911.0,   5.0120,-999.0000,  35.0290,   -999.0,    269.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  4.9360
     32OC202_1,  A16N,     3,  1,     24,     24,19880724,0054, 63.1333, -20.0067,  927,    949.8,   4.8730,-999.0000,  35.0220,   -999.0,    269.9,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  4.7940
     32OC202_1,  A16N,     3,  1,     99,   -999,19880724,0054, 63.1333, -20.0067,  927,    950.8,   4.8730,  35.0200,-999.0000,   -999.0,   -999.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  4.7940
     32OC202_1,  A16N,     4,  1,      1,      1,19880724,0317, 62.9883, -20.0117, 1237,      7.9,  10.9480,-999.0000,  35.0500,   -999.0,    283.6,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9, 10.9470
     32OC202_1,  A16N,     4,  1,      2,      2,19880724,0317, 62.9883, -20.0117, 1237,     32.8,   9.8540,-999.0000,  35.0620,   -999.0,    284.8,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  9.8500
     32OC202_1,  A16N,     4,  1,      3,      3,19880724,0317, 62.9883, -20.0117, 1237,     63.0,   8.4480,-999.0000,  35.1020,   -999.0,    279.1,  -999.00,  -999.00,  -999.00,  -999.00,    3.751,2,    1.893,2,  8.4420
     32OC202_1,  A16N,     4,  1,      4,      4,19880724,0317, 62.9883, -20.0117, 1237,    103.2,   7.8910,-999.0000,  35.1210,   -999.0,    273.4,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.8810
     32OC202_1,  A16N,     4,  1,      5,      5,19880724,0317, 62.9883, -20.0117, 1237,    154.1,   7.4810,-999.0000,  35.1270,   -999.0,    273.8,  -999.00,  -999.00,  -999.00,  -999.00,    3.945,2,    1.868,2,  7.4660
     32OC202_1,  A16N,     4,  1,      6,      6,19880724,0317, 62.9883, -20.0117, 1237,    204.5,   7.2610,-999.0000,  35.1310,   -999.0,    274.3,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.2420
     32OC202_1,  A16N,     4,  1,      7,      7,19880724,0317, 62.9883, -20.0117, 1237,    254.8,   7.1640,-999.0000,  35.1330,   -999.0,    274.3,  -999.00,  -999.00,  -999.00,  -999.00,    3.754,3,    1.819,3,  7.1400
     32OC202_1,  A16N,     4,  1,      8,      8,19880724,0317, 62.9883, -20.0117, 1237,    305.4,   7.0700,-999.0000,  35.1310,   -999.0,    274.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.0400
     32OC202_1,  A16N,     4,  1,      9,      9,19880724,0317, 62.9883, -20.0117, 1237,    356.1,   7.0030,-999.0000,  35.1280,   -999.0,    272.5,  -999.00,  -999.00,  -999.00,  -999.00,    3.420,2,    1.687,2,  6.9690
     32OC202_1,  A16N,     4,  1,     10,     10,19880724,0317, 62.9883, -20.0117, 1237,    406.5,   6.9140,-999.0000,  35.1260,   -999.0,    269.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.8750
